Category,Category_ID
"Arts & Photography",1
"Comics",2
"Education & Teaching",3
"History",4
"Literature & Fiction",5
"Parenting & Relationships",6
"Romance",7
"Sports & Outdoors",8
"Biographies & Memoirs",9
"Computers & Technology",10
"Engineering & Transportation",11
"Humor & Entertainment",12
"Medical",13
"Politics & Social Sciences",14
"Science & Math",15
"Teen & Young Adult",16
"Business & Money",17
"Cookbooks Food & Wine",18
"Foreign Language",19
"Law",20
"Mystery Thriller & Suspense",21
"Reference",22
"Science Fiction & Fantasy",23
"Travel",24
"Children's eBooks",25
"Crafts Hobbies & Home",26
"Health Fitness & Dieting",27
"LGBTQ+ eBooks",28
"Nonfiction",29
"Religion & Spirituality",30
"Self-Help",31
